subset_rank,system,policy,mean_H_subset
249,3849,R2_cand_3849,1.1783235385021151
250,3545,R2_cand_3545,1.1787880651577511
251,1348,R2_cand_1348,1.1788067396224269
252,3311,R2_cand_3311,1.17913672109519
253,692,R2_cand_692,1.1798839604141258
254,1620,R2_cand_1620,1.1799787600490643
255,1661,R2_cand_1661,1.1806997162748707
256,3301,R2_cand_3301,1.1807624589230974
257,2904,R2_cand_2904,1.1809785420419914
258,5326,R2_cand_5326,1.181209942635272
259,6137,R2_cand_6137,1.1813002082427333
260,2903,R2_cand_2903,1.1816266653080638
261,3355,R2_cand_3355,1.1816571283144277
262,2663,R2_cand_2663,1.1818882358167704
263,3879,R2_cand_3879,1.1828205168406971
264,5101,R2_cand_5101,1.182928871419392
265,3357,R2_cand_3357,1.1829387858476155
266,1330,R2_cand_1330,1.1831350690450069
267,484,R2_cand_484,1.183540339341938
268,3867,R2_cand_3867,1.1839190676082614
269,1683,R2_cand_1683,1.1841746188053164
270,1179,R2_cand_1179,1.1841818606341596
271,1445,R2_cand_1445,1.1843948878019237
272,3950,R2_cand_3950,1.184417295592687
273,6062,R2_cand_6062,1.1846535555098436
274,6072,R2_cand_6072,1.1846814848249787
275,1934,R2_cand_1934,1.1848260390434966
276,3150,R2_cand_3150,1.1850361981321318
277,6047,R2_cand_6047,1.1852946494596561
278,2879,R2_cand_2879,1.1863729985435711
279,1122,R2_cand_1122,1.186415654596741
280,6048,R2_cand_6048,1.1864594016651222
281,1827,R2_cand_1827,1.1873016224190693
282,638,R2_cand_638,1.1877379077422747
283,1375,R2_cand_1375,1.187802447668204
284,3886,R2_cand_3886,1.1879622044217792
285,4849,R2_cand_4849,1.1880108219376346
286,4833,R2_cand_4833,1.1881532904405692
287,1935,R2_cand_1935,1.1882133179542684
288,5092,R2_cand_5092,1.1884227684252429
289,6064,R2_cand_6064,1.1886113734097168
290,3312,R2_cand_3312,1.1886443840065484
291,3552,R2_cand_3552,1.1888406209708418
292,1151,R2_cand_1151,1.1889794992234393
293,647,R2_cand_647,1.189130846895853
294,2673,R2_cand_2673,1.1892124823206884
295,2880,R2_cand_2880,1.189486397915546
296,5580,R2_cand_5580,1.189576746669875
297,2654,R2_cand_2654,1.1900691084396278
298,2815,R2_cand_2815,1.1902211900096458
299,3848,R2_cand_3848,1.1904369586687924
300,5058,R2_cand_5058,1.1911975093376408
301,6046,R2_cand_6046,1.1913046529139275
302,1458,R2_cand_1458,1.191835815926368
303,5586,R2_cand_5586,1.1918974107971019
304,971,R2_cand_971,1.192011132679975
305,5012,R2_cand_5012,1.192084773997005
306,690,R2_cand_690,1.1925998200215155
307,5021,R2_cand_5021,1.1926285963893297
308,5976,R2_cand_5976,1.1930563151669324
309,727,R2_cand_727,1.1939059401811596
310,1859,R2_cand_1859,1.1942288569217276
311,2894,R2_cand_2894,1.1943130821677996
312,1817,R2_cand_1817,1.1945644840542737
313,2832,R2_cand_2832,1.1948469749923416
314,5577,R2_cand_5577,1.195272275886913
315,1858,R2_cand_1858,1.1953286781183317
316,5506,R2_cand_5506,1.1955191226252073
317,6155,R2_cand_6155,1.1957582876731951
318,5576,R2_cand_5576,1.1959050116250818
319,2816,R2_cand_2816,1.196013405090294
320,1939,R2_cand_1939,1.1960326762093878
321,5975,R2_cand_5975,1.196071910561766
322,1331,R2_cand_1331,1.196198197895871
323,3786,R2_cand_3786,1.1963523965502372
324,1637,R2_cand_1637,1.1963633318789837
325,5081,R2_cand_5081,1.1965173130299112
326,3318,R2_cand_3318,1.1966038952704805
327,5568,R2_cand_5568,1.196865428575117
328,1662,R2_cand_1662,1.196959635407024
329,2878,R2_cand_2878,1.19719580820363
330,1341,R2_cand_1341,1.1973956583362249
331,6071,R2_cand_6071,1.1974594930521842
332,1617,R2_cand_1617,1.197470466757988
333,719,R2_cand_719,1.1974864389344075
334,1210,R2_cand_1210,1.1977344861934782
335,1339,R2_cand_1339,1.1980165350675072
336,1849,R2_cand_1849,1.1980351644640053
337,3840,R2_cand_3840,1.198202412532369
338,1686,R2_cand_1686,1.1983040938935707
339,6038,R2_cand_6038,1.1984165705759424
340,1824,R2_cand_1824,1.1985058383748401
341,5013,R2_cand_5013,1.1985562534073027
342,3858,R2_cand_3858,1.1986666357099396
343,3157,R2_cand_3157,1.1988608995215153
344,3543,R2_cand_3543,1.1989462992734765
345,5571,R2_cand_5571,1.1999021634440195
346,6147,R2_cand_6147,1.2004435904033182
347,5560,R2_cand_5560,1.2004489357273196
348,1816,R2_cand_1816,1.2004503936351458
349,3159,R2_cand_3159,1.2004824301965922
350,2835,R2_cand_2835,1.2006573412469637
351,5983,R2_cand_5983,1.2013044491529778
352,4014,R2_cand_4014,1.201561097363435
353,5343,R2_cand_5343,1.2019096839878274
354,5093,R2_cand_5093,1.2020476856794462
355,1608,R2_cand_1608,1.2020798541916489
356,952,R2_cand_952,1.2022352911020953
357,1833,R2_cand_1833,1.2023639220836095
358,3865,R2_cand_3865,1.2024354161220356
359,6012,R2_cand_6012,1.2027845254822078
360,1652,R2_cand_1652,1.202795400084826
361,2869,R2_cand_2869,1.2028652835683138
362,2870,R2_cand_2870,1.2031730597794548
363,1374,R2_cand_1374,1.2031917339149496
364,4840,R2_cand_4840,1.2032498004245151
365,1133,R2_cand_1133,1.2034143713053829
366,2914,R2_cand_2914,1.2035553922878708
367,3156,R2_cand_3156,1.2035620593397494
368,3397,R2_cand_3397,1.203938081619631
369,5585,R2_cand_5585,1.2042256475382254
370,4118,R2_cand_4118,1.204313046733323
371,3833,R2_cand_3833,1.2043697134151916
372,485,R2_cand_485,1.2046026600148059
373,3825,R2_cand_3825,1.204828353456835
374,1160,R2_cand_1160,1.2048688387743454
375,6037,R2_cand_6037,1.2054791567660375
376,3363,R2_cand_3363,1.2055733372757869
377,2871,R2_cand_2871,1.2058181996596455
378,5670,R2_cand_5670,1.2060869152966933
379,3147,R2_cand_3147,1.206107007647103
380,1376,R2_cand_1376,1.2064461895212761
381,1940,R2_cand_1940,1.2065672452759688
382,6029,R2_cand_6029,1.2067426184606076
383,953,R2_cand_953,1.2070413553871466
384,1779,R2_cand_1779,1.2072053368253846
385,5750,R2_cand_5750,1.2077343479468412
386,3933,R2_cand_3933,1.2078590475350475
387,718,R2_cand_718,1.207898456269822
388,5084,R2_cand_5084,1.209275959886472
389,3300,R2_cand_3300,1.2093088401301255
390,3398,R2_cand_3398,1.2096771945346307
391,1296,R2_cand_1296,1.2096879087101096
392,6053,R2_cand_6053,1.2097639880904756
393,6233,R2_cand_6233,1.2098276556726655
394,4023,R2_cand_4023,1.2100328975486911
395,3643,R2_cand_3643,1.2104022233572616
396,5575,R2_cand_5575,1.2105150037175
397,6028,R2_cand_6028,1.2108527821559676
398,1898,R2_cand_1898,1.210946850279588
399,3372,R2_cand_3372,1.2110368483569172
400,1921,R2_cand_1921,1.2110939422736609
401,1834,R2_cand_1834,1.2110979418038887
402,5578,R2_cand_5578,1.2111896705525713
403,4040,R2_cand_4040,1.2116408598694415
404,5552,R2_cand_5552,1.2118423038026649
405,5542,R2_cand_5542,1.2120262079675568
406,1903,R2_cand_1903,1.2122240729138483
407,5099,R2_cand_5099,1.2127743992585795
408,4046,R2_cand_4046,1.213029637033578
409,4860,R2_cand_4860,1.2133388065305561
410,1159,R2_cand_1159,1.21334199360864
411,6236,R2_cand_6236,1.2138850097423275
412,1166,R2_cand_1166,1.2139378785858543
413,3631,R2_cand_3631,1.2139738005969916
414,6227,R2_cand_6227,1.213997067300736
415,1835,R2_cand_1835,1.2140138519332115
416,2014,R2_cand_2014,1.2141278790060535
417,4048,R2_cand_4048,1.214170074828825
418,1363,R2_cand_1363,1.214225436809097
419,4848,R2_cand_4848,1.2143403208185772
420,725,R2_cand_725,1.2143476367650745
421,3562,R2_cand_3562,1.2145810327371798
422,1896,R2_cand_1896,1.214749837474893
423,6219,R2_cand_6219,1.2147612990785661
424,3354,R2_cand_3354,1.2148776717412761
425,1259,R2_cand_1259,1.2149196817966867
426,4093,R2_cand_4093,1.214954006801821
427,1815,R2_cand_1815,1.215058496997403
428,6234,R2_cand_6234,1.215107616444859
429,1941,R2_cand_1941,1.2151177534864968
430,5561,R2_cand_5561,1.2152091749856333
431,1647,R2_cand_1647,1.215315911714497
432,4049,R2_cand_4049,1.2154791851299627
433,5741,R2_cand_5741,1.2160946891180187
434,665,R2_cand_665,1.2161912312121075
435,629,R2_cand_629,1.216224447579529
436,5958,R2_cand_5958,1.2163519336796718
437,3882,R2_cand_3882,1.2163762798249718
438,4039,R2_cand_4039,1.2165530734655186
439,6002,R2_cand_6002,1.2166110390355063
440,2808,R2_cand_2808,1.2166674621227496
441,3761,R2_cand_3761,1.217110675356957
442,5544,R2_cand_5544,1.2174335120422746
443,5553,R2_cand_5553,1.2174410374075266
444,3874,R2_cand_3874,1.2175472360402335
445,4091,R2_cand_4091,1.2177929637797456
446,1899,R2_cand_1899,1.2181228286964516
447,4100,R2_cand_4100,1.218402931327864
448,5739,R2_cand_5739,1.2185326215867156
449,3388,R2_cand_3388,1.2185782200715254
450,5091,R2_cand_5091,1.2190164522630813
451,3608,R2_cand_3608,1.2195326845776533
452,5472,R2_cand_5472,1.2197214566168861
453,1456,R2_cand_1456,1.2199638160524624
454,4032,R2_cand_4032,1.2199896284861056
455,2005,R2_cand_2005,1.2202022084486535
456,1347,R2_cand_1347,1.220237533316878
457,2021,R2_cand_2021,1.220257938769724
458,5499,R2_cand_5499,1.2205747205827964
459,700,R2_cand_700,1.220579229429351
460,2637,R2_cand_2637,1.2208248821251626
461,1906,R2_cand_1906,1.2208877774264209
462,1755,R2_cand_1755,1.2209875339742222
463,4857,R2_cand_4857,1.2210652181610282
464,5075,R2_cand_5075,1.2210789968074243
465,4038,R2_cand_4038,1.2211263496444675
466,1457,R2_cand_1457,1.2214191747989478
467,656,R2_cand_656,1.2214739735462685
468,3795,R2_cand_3795,1.2215546517609257
469,2015,R2_cand_2015,1.22220841201846
470,2016,R2_cand_2016,1.222291091099026
471,5967,R2_cand_5967,1.2224098117500577
472,5669,R2_cand_5669,1.2225362880926898
473,5076,R2_cand_5076,1.2227969352479906
474,1338,R2_cand_1338,1.2229283316652593
475,2913,R2_cand_2913,1.2231114147587347
476,2877,R2_cand_2877,1.2233280007562046
477,5804,R2_cand_5804,1.2235549677180608
478,5651,R2_cand_5651,1.223581045618222
479,2023,R2_cand_2023,1.2236592974577074
480,1698,R2_cand_1698,1.22375275812735
481,3347,R2_cand_3347,1.2237868344336729
482,5742,R2_cand_5742,1.2239428710996467
483,4005,R2_cand_4005,1.2240193102422796
484,648,R2_cand_648,1.2240452048137975
485,5085,R2_cand_5085,1.224232920300072
486,3824,R2_cand_3824,1.2242508259199454
487,4047,R2_cand_4047,1.2242783129704504
488,5748,R2_cand_5748,1.2243140838724607
489,1278,R2_cand_1278,1.2246075125509281
490,6146,R2_cand_6146,1.224703344721115
491,5066,R2_cand_5066,1.2249229037867095
492,5490,R2_cand_5490,1.2249282730260371
493,2834,R2_cand_2834,1.2249411720828811
494,1627,R2_cand_1627,1.2250481458511326
495,2013,R2_cand_2013,1.2252572509497648
496,5067,R2_cand_5067,1.2252786080148361
497,5011,R2_cand_5011,1.2255844003510545
498,1349,R2_cand_1349,1.225607506706821
499,6225,R2_cand_6225,1.225657295566304
500,2898,R2_cand_2898,1.2256980779109088
501,5733,R2_cand_5733,1.2257143930174497
502,1611,R2_cand_1611,1.2257308831300904
503,5904,R2_cand_5904,1.2258572881699221
504,4194,R2_cand_4194,1.2258947793385535
505,1922,R2_cand_1922,1.226295959205793
506,2814,R2_cand_2814,1.226324675006871
507,5731,R2_cand_5731,1.2265884823171262
508,3339,R2_cand_3339,1.2266618118421206
509,6075,R2_cand_6075,1.226682948678391
510,3555,R2_cand_3555,1.2267966620780153
511,2661,R2_cand_2661,1.2270886687658598
512,1453,R2_cand_1453,1.2272599478872468
513,5002,R2_cand_5002,1.2272707605664126
514,2007,R2_cand_2007,1.2274035299555308
515,1932,R2_cand_1932,1.2275960154691936
516,6281,R2_cand_6281,1.2277979783660897
517,5732,R2_cand_5732,1.2278559503451887
518,6055,R2_cand_6055,1.227856310779817
519,1636,R2_cand_1636,1.227873535365652
520,1446,R2_cand_1446,1.2279576087378636
521,1836,R2_cand_1836,1.2280474125492529
522,1746,R2_cand_1746,1.2281746879062867
523,1809,R2_cand_1809,1.2283282441533794
524,3624,R2_cand_3624,1.2284541402456806
525,3384,R2_cand_3384,1.22857611933288
526,4113,R2_cand_4113,1.228633411031928
527,1599,R2_cand_1599,1.2288820566719942
528,6304,R2_cand_6304,1.2289438897522764
