replication,seed,warmup_weeks,elapsed_week,measured_weeks,scheduled_count,completed_count,unscheduled_count,unscheduled_count_total,Z1_wait_time,Z2_overtime,Z3_congestion,H_raw,H_analysis,used_for_analysis
1,123,47,48,4,28,28,41,45,134832.40996019676,4.673842517031395,4.0,2.780342073389249,2.780342073389249,True
1,123,48,49,4,29,29,47,51,106618.63514389016,2.4096785795656617,4.0,2.179361118863618,2.179361118863618,True
1,123,49,50,4,24,24,38,48,82259.74591927478,4.088885733650144,5.0,2.0512142205859814,2.0512142205859814,True
2,124,0,1,4,36,36,24,24,54734.58564672469,4.051643352104751,2.0,1.3386342307684498,1.3386342307684498,True
2,124,1,2,4,41,41,14,15,34441.27225102706,3.3306301098380726,3.0,1.078969341093996,1.078969341093996,True
2,124,2,3,4,42,42,15,16,30262.814537327806,3.0422741435430303,4.0,1.093721433527011,1.093721433527011,True
2,124,3,4,4,25,25,23,28,84698.39764201753,2.5307818020829016,4.0,1.8628553662204643,1.8628553662204643,True
2,124,4,5,4,36,36,17,21,54161.18145914947,3.6729384013949735,3.0,1.3998050343013222,1.3998050343013222,True
2,124,5,6,4,31,31,35,37,96024.6375795838,1.9729433196274233,4.0,1.9867735247901908,1.9867735247901908,True
2,124,6,7,4,40,40,34,38,124108.5563716401,3.879666229142519,4.0,2.557226815766522,2.557226815766522,True
2,124,7,8,4,27,27,28,33,87573.56477096297,2.3641594877307095,5.0,1.9923108062054058,1.9923108062054058,True
2,124,8,9,4,23,23,24,29,50596.03391465459,4.15424122709713,4.0,1.4852564695167971,1.4852564695167971,True
2,124,9,10,4,18,18,29,36,104120.14525157916,3.524922201173164,4.0,2.2314006994804476,2.2314006994804476,True
2,124,10,11,4,23,23,33,42,77675.20597503823,3.8865935400200518,4.0,1.866808524496816,1.866808524496816,True
2,124,11,12,4,29,29,27,34,61822.488248488386,4.7038426099226855,4.0,1.6962849124915587,1.6962849124915587,True
2,124,12,13,4,27,27,29,36,66294.75388409398,3.0641152997256236,4.0,1.6316582996342102,1.6316582996342102,True
2,124,13,14,4,17,17,41,48,161667.66858759502,3.0736076472196148,3.0,2.951657489569162,2.951657489569162,True
2,124,14,15,4,21,21,29,34,83321.78148971393,2.7953947820359946,4.0,1.8635390452074323,1.8635390452074323,True
2,124,15,16,4,24,24,53,59,151197.42163341146,3.678180306757713,4.0,2.944216055990192,2.944216055990192,True
2,124,16,17,4,24,24,53,57,40602.053280632485,3.709588963484445,3.0,1.200964338516739,1.200964338516739,True
2,124,17,18,4,24,24,41,54,92747.2338652962,3.486466978057069,3.0,1.9590845288590926,1.9590845288590926,True
2,124,18,19,4,12,12,38,50,99247.90867596271,4.879365721332215,4.0,2.267252660622689,2.267252660622689,True
2,124,19,20,4,7,7,30,47,130273.60438919757,3.065604211950995,4.0,2.5838436403667577,2.5838436403667577,True
2,124,20,21,4,7,7,35,51,113778.30726177187,3.3106447144446673,4.0,2.357981149503369,2.357981149503369,True
2,124,21,22,4,8,8,41,53,176300.93192520572,2.8724002480252238,3.0,3.153317792538532,3.153317792538532,True
2,124,22,23,4,13,13,38,46,73205.09530456699,4.275870497641033,4.0,1.8314311770816247,1.8314311770816247,True
2,124,23,24,4,13,13,43,53,131370.36874382716,3.5199289611094478,5.0,2.7365105184338026,2.7365105184338026,True
2,124,24,25,4,10,10,43,55,124310.24259704856,4.027926302591004,4.0,2.5720889047585977,2.5720889047585977,True
2,124,25,26,4,11,11,47,56,88773.67769728373,3.471933681605151,4.0,1.9987915650237058,1.9987915650237058,True
2,124,26,27,4,17,17,40,53,247691.3990697107,3.7811354192575286,5.0,4.4883747482684395,4.4883747482684395,True
2,124,27,28,4,15,15,41,50,116141.05025802554,4.347577520974543,5.0,2.5760956400414385,2.5760956400414385,True
2,124,28,29,4,16,16,36,47,123764.4521558178,3.066831489558778,4.0,2.487079438150086,2.487079438150086,True
2,124,29,30,4,24,24,33,45,100950.40323428522,6.515172219812424,4.0,2.423451920952333,2.423451920952333,True
2,124,30,31,4,24,24,29,37,95070.12749801806,6.165530985830022,4.0,2.3079765190154795,2.3079765190154795,True
2,124,31,32,4,16,16,40,42,73460.30154819197,3.94338834697434,5.0,1.9086303169869945,1.9086303169869945,True
2,124,32,33,4,19,19,60,70,121187.394321755,3.3886265122215264,4.0,2.474473965051457,2.474473965051457,True
2,124,33,34,4,17,17,57,69,175834.3117926027,3.0324508148383758,5.0,3.3591780859103246,3.3591780859103246,True
2,124,34,35,4,14,14,36,57,119442.03944877836,5.404976409896578,4.0,2.6098094141128327,2.6098094141128327,True
2,124,35,36,4,11,11,36,52,211475.0147992336,3.8995677428395235,5.0,3.9589150444157566,3.9589150444157566,True
2,124,36,37,4,11,11,27,46,139667.99300490387,3.561412409809418,5.0,2.8633057458339177,2.8633057458339177,True
2,124,37,38,4,11,11,28,44,90843.00655054678,3.8683206125247427,4.0,2.0612961036232114,2.0612961036232114,True
