policy_name,replication,timetable,num_weeks,warmup_weeks,total_sim_weeks,scheduled_count,completed_count,unscheduled_count,unscheduled_count_total,mean_prep_duration,mean_booking_wait,mean_lateness,mean_procedure_duration,Z1_wait_time,Z2_overtime,Z3_congestion,H,total_overtime_min,lunch_overtime_min,after_hours_overtime_min
R2_effc06e5_SubsetKN,16,R2_placeholder,180,20,200,2449,2449,13,13,11680.774785221289,3408.8373995448455,53.70051887586964,79.6413561445666,2.694574655689192,5.80825779398534,5.0,1.0224015089978813,62729.18417504168,20705.89732071932,42023.28685432236
R2_effc06e5_SubsetKN,17,R2_placeholder,180,20,200,2584,2584,26,26,10905.466588542107,4874.577654839209,54.16182963194487,78.75795177577551,4.561249632320751,6.025638131864077,5.0,1.0797921140988567,65076.891824132035,21231.472974418662,43845.41884971337
R2_effc06e5_SubsetKN,18,R2_placeholder,180,20,200,2521,2521,21,21,12299.642450452582,4140.148354082545,56.03580050345771,77.24153998858102,4.717550285803953,5.6838985796135155,5.0,1.0558022496363089,61386.10465982597,20213.642796120694,41172.46186370528
R2_effc06e5_SubsetKN,19,R2_placeholder,180,20,200,2540,2540,14,14,11557.889787742208,4640.167745300611,55.77216647059122,76.88574909811324,3.792271243680308,5.691617467477616,5.0,1.03659235261993,61469.46864875825,20627.336858126655,40842.131790631596
R2_effc06e5_SubsetKN,20,R2_placeholder,180,20,200,2409,2409,16,16,11248.132703073796,3994.514132048611,55.3506867626167,79.44043336142647,3.4481477977107726,5.786700722565219,5.0,1.0368249391847342,62496.36780370437,19765.697645631823,42730.67015807255
R2_effc06e5_SubsetKN,21,R2_placeholder,180,20,200,2503,2503,16,16,11044.917896849543,3704.221676770681,55.660310245800225,78.1260771527667,3.5260887159105754,5.8804310076087,5.0,1.0459935245210654,63508.654882173956,20444.096651011932,43064.558231162024
R2_effc06e5_SubsetKN,22,R2_placeholder,180,20,200,2401,2401,34,34,11858.610476404367,3329.6220632336567,56.298675146307914,78.14030093488331,3.6653016358204784,5.375661175741965,5.0,1.008595071969796,58057.140698013216,19920.63198900086,38136.508709012356
R2_effc06e5_SubsetKN,23,R2_placeholder,180,20,200,2794,2794,16,16,10665.042111117938,7537.298744246756,55.96401452402462,78.09488692546712,5.872318242941767,6.723530016165532,5.0,1.1637177922134234,72614.12417458775,22148.866314329498,50465.25786025825
R2_effc06e5_SubsetKN,24,R2_placeholder,180,20,200,2450,2450,11,11,10920.660941630775,3954.2500778455333,55.442000013850354,77.24157710774611,3.448169300054667,5.63303725959172,5.0,1.0245323229113663,60836.802403590584,20314.338153268385,40522.4642503222
R2_effc06e5_SubsetKN,25,R2_placeholder,180,20,200,2344,2344,16,16,10465.506084011293,3455.584412616494,55.3549103386226,79.17367993826313,3.0944203971214246,5.450103482800017,5.0,1.0023172871337462,58861.11761424018,20265.470501240197,38595.647112999985
R2_effc06e5_SubsetKN,26,R2_placeholder,180,20,200,2446,2446,22,22,12035.706957798284,3259.97339434902,56.532394633864754,78.2032307834956,3.1451130683623365,5.831468172808799,5.0,1.0339127338610399,62979.85626633503,20707.708375008166,42272.147891326866
R2_effc06e5_SubsetKN,27,R2_placeholder,180,20,200,2599,2599,17,17,11551.836402095134,6507.853215757486,54.8415131708443,79.02429324745381,5.086893909557068,6.078513792790324,5.0,1.0952859729137345,65647.9489621355,20835.31881378428,44812.63014835122
R2_effc06e5_SubsetKN,28,R2_placeholder,180,20,200,2525,2525,21,21,11364.330699581456,5719.82247537001,54.81979892820701,79.5141213000638,4.710008328209174,5.994644977497964,5.0,1.080500348090034,64742.16575697801,21199.96023617091,43542.205520807096
R2_effc06e5_SubsetKN,29,R2_placeholder,180,20,200,2452,2452,12,12,11676.115893759741,4694.999569551091,54.692643590749576,79.75052806597574,3.8814607362378277,5.8137760015176925,5.0,1.0482762387550832,62788.78081639108,20297.176277033985,42491.6045393571
